"action","digital_title","digital_provider","tmdbId","tmdbTitle","year","reason"
"UPDATE","Expendables, The","Fandango | Movies Anywhere","27578","The Expendables","2010","Digital provider added to existing catalog record ""Expendables, The""."
"UPDATE","Fast & Furious: Fast 6","Fandango | Movies Anywhere","82992","Fast & Furious 6","2013","Digital provider added to existing catalog record ""Fast & Furious: Fast 6""."
"UPDATE","Field of Dreams","Fandango | Movies Anywhere","2323","Field of Dreams","1989","Digital provider added to existing catalog record ""Field of Dreams""."
"UPDATE","Final Destination","Fandango | Movies Anywhere","9532","Final Destination","2000","Digital provider added to existing catalog record ""Final Destination""."
"UPDATE","Final Destination 2","Fandango | Movies Anywhere","9358","Final Destination 2","2003","Digital provider added to existing catalog record ""Final Destination 2""."
"UPDATE","Flash, The","Fandango | Movies Anywhere","298618","The Flash","2023","Digital provider added to existing catalog record ""Flash, The""."
"UPDATE","Frozen","Fandango | Movies Anywhere","109445","Frozen","2013","Digital provider added to existing catalog record ""Frozen""."
"UPDATE","G.I. Joe: Retaliation","Fandango","72559","G.I. Joe: Retaliation","2013","Digital provider added to existing catalog record ""G.I. Joe: Retaliation""."
"UPDATE","Ghostbusters","Fandango | Prime","620","Ghostbusters","1984","Digital provider added to existing catalog record ""Ghostbusters""."
"UPDATE","Girl with the Dragon Tattoo, The","Fandango | Movies Anywhere","65754","The Girl with the Dragon Tattoo","2011","Digital provider added to existing catalog record ""Girl with the Dragon Tattoo, The""."
"UPDATE","Gladiator","Fandango","98","Gladiator","2000","Digital provider added to existing catalog record ""Gladiator""."
"UPDATE","Greatest Showman, The","Fandango | Movies Anywhere","316029","The Greatest Showman","2017","Digital provider added to existing catalog record ""Greatest Showman, The""."
"UPDATE","Grinch, The","Fandango | Movies Anywhere","360920","The Grinch","2018","Digital provider added to existing catalog record ""Grinch, The""."
"UPDATE","Grown Ups 2","Fandango | Movies Anywhere","109418","Grown Ups 2","2013","Digital provider added to existing catalog record ""Grown Ups 2""."
"UPDATE","Grudge Match","Fandango | Movies Anywhere","64807","Grudge Match","2013","Digital provider added to existing catalog record ""Grudge Match""."
"UPDATE","Guardians of the Galaxy Vol. 2","Fandango | Movies Anywhere","283995","Guardians of the Galaxy Vol. 2","2017","Digital provider added to existing catalog record ""Guardians of the Galaxy Vol. 2""."
"UPDATE","Harry Potter and the Chamber of Secrets","Fandango | Movies Anywhere","672","Harry Potter and the Chamber of Secrets","2002","Digital provider added to existing catalog record ""Harry Potter and the Chamber of Secrets""."
"UPDATE","Harry Potter and the Deathly Hallows: Part 1","Fandango | Movies Anywhere","12444","Harry Potter and the Deathly Hallows: Part 1","2010","Digital provider added to existing catalog record ""Harry Potter and the Deathly Hallows: Part 1""."
"UPDATE","Harry Potter and the Deathly Hallows: Part 2","Fandango | Movies Anywhere","12445","Harry Potter and the Deathly Hallows: Part 2","2011","Digital provider added to existing catalog record ""Harry Potter and the Deathly Hallows: Part 2""."
"UPDATE","Harry Potter and the Goblet of Fire","Fandango | Movies Anywhere","674","Harry Potter and the Goblet of Fire","2005","Digital provider added to existing catalog record ""Harry Potter and the Goblet of Fire""."
"UPDATE","Harry Potter and the Half-Blood Prince","Fandango | Movies Anywhere","767","Harry Potter and the Half-Blood Prince","2009","Digital provider added to existing catalog record ""Harry Potter and the Half-Blood Prince""."
"UPDATE","Harry Potter and the Order of the Phoenix","Fandango | Movies Anywhere","675","Harry Potter and the Order of the Phoenix","2007","Digital provider added to existing catalog record ""Harry Potter and the Order of the Phoenix""."
"UPDATE","Harry Potter and the Prisoner of Azkaban","Fandango | Movies Anywhere","673","Harry Potter and the Prisoner of Azkaban","2004","Digital provider added to existing catalog record ""Harry Potter and the Prisoner of Azkaban""."
"REVIEW","Harry Potter and the Sorcerer's Stone","Fandango | Movies Anywhere","671","Harry Potter and the Philosopher's Stone","2001","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Heat, The","Fandango | Movies Anywhere","136795","The Heat","2013","Digital provider added to existing catalog record ""Heat, The""."
"UPDATE","Holdovers, The","Fandango | Movies Anywhere","840430","The Holdovers","2023","Digital provider added to existing catalog record ""Holdovers, The""."
"UPDATE","Holiday, The","Fandango | Movies Anywhere","1581","The Holiday","2006","Digital provider added to existing catalog record ""Holiday, The""."
"UPDATE","Horrible Bosses","Fandango | Movies Anywhere","51540","Horrible Bosses","2011","Digital provider added to existing catalog record ""Horrible Bosses""."
"UPDATE","How the Grinch Stole Christmas","Fandango | Movies Anywhere","8871","How the Grinch Stole Christmas","2000","Digital provider added to existing catalog record ""How the Grinch Stole Christmas""."
"UPDATE","Hunger Games, The","Fandango | Movies Anywhere","70160","The Hunger Games","2012","Digital provider added to existing catalog record ""Hunger Games, The""."
"UPDATE","Hunger Games: Catching Fire, The","Fandango","101299","The Hunger Games: Catching Fire","2013","Digital provider added to existing catalog record ""Hunger Games: Catching Fire, The""."
"UPDATE","Hunger Games: Mockingjay - Part 1, The","Fandango","131631","The Hunger Games: Mockingjay - Part 1","2014","Digital provider added to existing catalog record ""Hunger Games: Mockingjay - Part 1, The""."
"UPDATE","Hunger Games: Mockingjay - Part 2, The","Fandango | Movies Anywhere","131634","The Hunger Games: Mockingjay - Part 2","2015","Digital provider added to existing catalog record ""Hunger Games: Mockingjay - Part 2, The""."
"UPDATE","Ice Age","Fandango | Movies Anywhere","425","Ice Age","2002","Digital provider added to existing catalog record ""Ice Age""."
"UPDATE","In Bruges","Fandango | Movies Anywhere","8321","In Bruges","2008","Digital provider added to existing catalog record ""In Bruges""."
"UPDATE","Inception","Fandango | Movies Anywhere","27205","Inception","2010","Digital provider added to existing catalog record ""Inception""."
"UPDATE","Incredible Burt Wonderstone, The","Fandango | Movies Anywhere | Prime","124459","The Incredible Burt Wonderstone","2013","Digital provider added to existing catalog record ""Incredible Burt Wonderstone, The""."
"UPDATE","Inside Out","Fandango | Movies Anywhere","150540","Inside Out","2015","Digital provider added to existing catalog record ""Inside Out""."
"UPDATE","Iron Man 3","Fandango | Movies Anywhere","68721","Iron Man 3","2013","Digital provider added to existing catalog record ""Iron Man 3""."
"UPDATE","Jerry Maguire","Fandango | Movies Anywhere","9390","Jerry Maguire","1996","Digital provider added to existing catalog record ""Jerry Maguire""."
"UPDATE","Jingle All the Way","Fandango | Movies Anywhere","9279","Jingle All the Way","1996","Digital provider added to existing catalog record ""Jingle All the Way""."
"UPDATE","John Wick","Fandango | Movies Anywhere","245891","John Wick","2014","Digital provider added to existing catalog record ""John Wick""."
"UPDATE","John Wick: Chapter 2","Fandango | Movies Anywhere | Prime","324552","John Wick: Chapter 2","2017","Digital provider added to existing catalog record ""John Wick: Chapter 2""."
"UPDATE","John Wick: Chapter 3 - Parabellum","Fandango","458156","John Wick: Chapter 3 - Parabellum","2019","Digital provider added to existing catalog record ""John Wick: Chapter 3 - Parabellum""."
"UPDATE","John Wick: Chapter 4","Fandango","603692","John Wick: Chapter 4","2023","Digital provider added to existing catalog record ""John Wick: Chapter 4""."
"UPDATE","Jumanji: The Next Level","Fandango | Movies Anywhere","512200","Jumanji: The Next Level","2019","Digital provider added to existing catalog record ""Jumanji: The Next Level""."
"UPDATE","Jumanji: Welcome to the Jungle","Fandango | Movies Anywhere","353486","Jumanji: Welcome to the Jungle","2017","Digital provider added to existing catalog record ""Jumanji: Welcome to the Jungle""."
"UPDATE","Jurassic Park","Fandango | Movies Anywhere","329","Jurassic Park","1993","Digital provider added to existing catalog record ""Jurassic Park""."
"UPDATE","Jurassic Park III","Fandango | Movies Anywhere","331","Jurassic Park III","2001","Digital provider added to existing catalog record ""Jurassic Park III""."
"UPDATE","Jurassic World","Fandango | Movies Anywhere","135397","Jurassic World","2015","Digital provider added to existing catalog record ""Jurassic World""."
"UPDATE","Jurassic World Dominion","Fandango | Movies Anywhere","507086","Jurassic World Dominion","2022","Digital provider added to existing catalog record ""Jurassic World Dominion""."
"UPDATE","Jurassic World: Fallen Kingdom","Fandango | Movies Anywhere","351286","Jurassic World: Fallen Kingdom","2018","Digital provider added to existing catalog record ""Jurassic World: Fallen Kingdom""."
"UPDATE","Justice League","Fandango | Movies Anywhere","141052","Justice League","2017","Digital provider added to existing catalog record ""Justice League""."
"UPDATE","Kick-Ass","Fandango | Movies Anywhere","23483","Kick-Ass","2010","Digital provider added to existing catalog record ""Kick-Ass""."
"UPDATE","Kick-Ass 2","Fandango | Movies Anywhere","59859","Kick-Ass 2","2013","Digital provider added to existing catalog record ""Kick-Ass 2""."
"UPDATE","Kingsman: The Secret Service","Fandango | Movies Anywhere","207703","Kingsman: The Secret Service","2015","Digital provider added to existing catalog record ""Kingsman: The Secret Service""."
"UPDATE","Knight and Day","Fandango | Movies Anywhere","37834","Knight and Day","2010","Digital provider added to existing catalog record ""Knight and Day""."
"UPDATE","Last Holiday","Fandango","17379","Last Holiday","2006","Digital provider added to existing catalog record ""Last Holiday""."
"UPDATE","Legends of the Fall","Fandango | Movies Anywhere","4476","Legends of the Fall","1994","Digital provider added to existing catalog record ""Legends of the Fall""."
"UPDATE","Lego Batman Movie, The","Fandango | Movies Anywhere","324849","The Lego Batman Movie","2017","Digital provider added to existing catalog record ""Lego Batman Movie, The""."
"UPDATE","Lego Movie 2: The Second Part, The","Fandango | Movies Anywhere","280217","The Lego Movie 2: The Second Part","2019","Digital provider added to existing catalog record ""Lego Movie 2: The Second Part, The""."
"UPDATE","Lego Movie, The","Fandango | Movies Anywhere","137106","The Lego Movie","2014","Digital provider added to existing catalog record ""Lego Movie, The""."
"UPDATE","Love Actually","Fandango | Movies Anywhere","508","Love Actually","2003","Digital provider added to existing catalog record ""Love Actually""."
"UPDATE","Love the Coopers","Fandango | Movies Anywhere","333348","Love the Coopers","2015","Digital provider added to existing catalog record ""Love the Coopers""."
"UPDATE","Maggie","Fandango | Movies Anywhere","287424","Maggie","2015","Digital provider added to existing catalog record ""Maggie""."
"UPDATE","Major League","Fandango","9942","Major League","1989","Digital provider added to existing catalog record ""Major League""."
"UPDATE","Maleficent","Fandango | Movies Anywhere","102651","Maleficent","2014","Digital provider added to existing catalog record ""Maleficent""."
"UPDATE","Man of Steel","Fandango | Movies Anywhere","49521","Man of Steel","2013","Digital provider added to existing catalog record ""Man of Steel""."
"UPDATE","Matchstick Men","Fandango | Movies Anywhere","7270","Matchstick Men","2003","Digital provider added to existing catalog record ""Matchstick Men""."
"UPDATE","Matrix, The","Fandango | Movies Anywhere","603","The Matrix","1999","Digital provider added to existing catalog record ""Matrix, The""."
"UPDATE","Mechanic, The","Fandango | Movies Anywhere","27582","The Mechanic","2011","Digital provider added to existing catalog record ""Mechanic, The""."
"UPDATE","Meg 2: The Trench","Fandango | Movies Anywhere","615656","Meg 2: The Trench","2023","Digital provider added to existing catalog record ""Meg 2: The Trench""."
"UPDATE","Meg, The","Fandango | Movies Anywhere","345940","The Meg","2018","Digital provider added to existing catalog record ""Meg, The""."
"UPDATE","Mike and Dave Need Wedding Dates","Fandango | Movies Anywhere","316023","Mike and Dave Need Wedding Dates","2016","Digital provider added to existing catalog record ""Mike and Dave Need Wedding Dates""."
"UPDATE","Minority Report","Fandango","180","Minority Report","2002","Digital provider added to existing catalog record ""Minority Report""."
"UPDATE","Mission: Impossible - Ghost Protocol","Fandango","56292","Mission: Impossible - Ghost Protocol","2011","Digital provider added to existing catalog record ""Mission: Impossible - Ghost Protocol""."
"UPDATE","Moneyball","Fandango | Movies Anywhere","60308","Moneyball","2011","Digital provider added to existing catalog record ""Moneyball""."
