"action","digital_title","digital_provider","tmdbId","tmdbTitle","year","reason"
"REVIEW","300: Rise of an Empire","Fandango | Movies Anywhere","53182","300: Rise of an Empire","2014","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","A Bad Moms Christmas","Fandango | Movies Anywhere","431530","A Bad Moms Christmas","2017","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","A Clockwork Orange","Fandango | Movies Anywhere","185","A Clockwork Orange","1971","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","A Knight's Tale","Fandango | Movies Anywhere","9476","A Knight's Tale","2001","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","A Merry Friggin' Christmas","Prime","286532","A Merry Friggin' Christmas","2014","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","A Very Nutty Christmas","Prime","550651","A Very Nutty Christmas","2018","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Addams Family Values","Fandango","2758","Addams Family Values","1993","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Aladdin and the King of Thieves","Fandango | Movies Anywhere","11238","Aladdin and the King of Thieves","1996","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Aladdin: The Return of Jafar","Fandango | Movies Anywhere","15969","The Return of Jafar","1994","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Anna","Fandango | Movies Anywhere","484641","Anna","2019","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Annie","Fandango | Movies Anywhere","196867","Annie","2014","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Anyone But You","Fandango | Movies Anywhere","1072790","Anyone but You","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Away From Her","Fandango","1919","Away from Her","2007","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Bad Boys: Ride or Die","Fandango | Movies Anywhere","573435","Bad Boys: Ride or Die","2024","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Bad Santa 2 Unrated","Prime","338964","Bad Santa 2","2016","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Bad Times at The El Royale","Fandango | Movies Anywhere","446021","Bad Times at the El Royale","2018","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Ballerina: From the World of John Wick","Fandango | Movies Anywhere","541671","Ballerina","2025","Digital provider added to existing catalog record ""Ballerina""."
"REVIEW","Barbie","Fandango | Movies Anywhere","346698","Barbie","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Barry Lyndon","Fandango | Movies Anywhere","3175","Barry Lyndon","1975","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Basic Instinct","Prime","402","Basic Instinct","1992","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Batman & Mr. Freeze: Sub-Zero","Fandango | Movies Anywhere","15805","Batman & Mr. Freeze: SubZero","1998","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Batman: Mask of the Phantasm","Fandango | Movies Anywhere","14919","Batman: Mask of the Phantasm","1993","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Behind Enemy Lines","Fandango | Movies Anywhere","8007","Behind Enemy Lines","2001","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Being John Malkovich","Fandango | Movies Anywhere","492","Being John Malkovich","1999","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Big Hero 6","Fandango | Movies Anywhere","177572","Big Hero 6","2014","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Big Trouble In Little China","Fandango | Movies Anywhere","6978","Big Trouble in Little China","1986","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Bill & Ted Face the Music","Fandango","501979","Bill & Ted Face the Music","2020","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Bill and Ted's Bogus Journey","Fandango","1649","Bill & Ted's Bogus Journey","1991","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Bill and Ted's Excellent Adventure","Fandango","1648","Bill & Ted's Excellent Adventure","1989","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Birds Of Prey And The Fantabulous Emancipation Of One Harley Quinn","Fandango | Movies Anywhere","495764","Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)","2020","Digital provider added to existing catalog record ""Birds of Prey""."
"REVIEW","Blade Runner 2049","Fandango | Movies Anywhere","335984","Blade Runner 2049","2017","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Boogie Nights","Fandango | Movies Anywhere","4995","Boogie Nights","1997","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Carrie (1976)","Prime","","","","No TMDB ID available."
"REVIEW","Catch Me if You Can","Fandango","640","Catch Me If You Can","2002","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Chicago","Prime","1574","Chicago","2002","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Christmas in Connecticut","Fandango | Movies Anywhere","13669","Christmas in Connecticut","1945","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Clerks III","Fandango","635891","Clerks III","2022","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Clue","Prime","15196","Clue","1985","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Cold Pursuit","Fandango | Movies Anywhere","438650","Cold Pursuit","2019","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Conan The Barbarian","Fandango | Movies Anywhere","9387","Conan the Barbarian","1982","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Cowboys & Aliens","Fandango | Movies Anywhere","49849","Cowboys & Aliens","2011","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Crazy, Stupid, Love","Fandango | Movies Anywhere","50646","Crazy, Stupid, Love.","2011","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Daylight","Fandango | Movies Anywhere","11228","Daylight","1996","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Dear Santa","Fandango","1097870","Dear Santa","2024","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Death Becomes Her","Fandango | Movies Anywhere","9374","Death Becomes Her","1992","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Death Race 2","Fandango | Movies Anywhere","51620","Death Race 2","2010","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Divergent","Fandango | Movies Anywhere","157350","Divergent","2014","Digital provider added to existing catalog record ""Divergent Saga: Divergent""."
"REVIEW","Dogma","Fandango | Movies Anywhere","1832","Dogma","1999","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Dr. Seuss' The Lorax","Fandango | Movies Anywhere","73723","The Lorax","2012","Digital provider added to existing catalog record ""Lorax, The""."
"REVIEW","Dungeons & Dragons: Honor Among Thieves","Prime","493529","Dungeons & Dragons: Honor Among Thieves","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Easy A","Fandango | Movies Anywhere","37735","Easy A","2010","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Eraser","Fandango | Movies Anywhere","9268","Eraser","1996","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Escape Plan","Fandango | Movies Anywhere","107846","Escape Plan","2013","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Eyes Wide Shut","Fandango | Movies Anywhere","345","Eyes Wide Shut","1999","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","F9 The Fast Saga","Fandango | Movies Anywhere","385128","F9","2021","Digital provider added to existing catalog record ""Fast & Furious: F 9""."
"ALREADY_PRESENT","F9 The Fast Saga: The Director's Cut","Fandango","385128","F9","2021","Digital provider already exists on ""Fast & Furious: F 9""."
"REVIEW","Family Plot","Fandango | Movies Anywhere","5854","Family Plot","1976","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Fantastic Beasts and Where to Find Them","Fandango | Movies Anywhere","259316","Fantastic Beasts and Where to Find Them","2016","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Fantastic Beasts: The Crimes Of Grindelwald","Fandango | Movies Anywhere","338952","Fantastic Beasts: The Crimes of Grindelwald","2018","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Fast & Furious","Fandango | Movies Anywhere","384018","Fast & Furious Presents: Hobbs & Shaw","2019","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Fast & Furious Presents: Hobbs & Shaw","Fandango | Movies Anywhere","384018","Fast & Furious Presents: Hobbs & Shaw","2019","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Fast Five","Fandango | Movies Anywhere","51497","Fast Five","2011","Digital provider added to existing catalog record ""Fast & Furious: Fast 5""."
"UPDATE","Fast X","Fandango | Movies Anywhere","385687","Fast X","2023","Digital provider added to existing catalog record ""Fast & Furious: Fast 10""."
"REVIEW","Father Goose","Fandango","30295","Father Goose","1964","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Final Destination 3","Fandango | Movies Anywhere","9286","Final Destination 3","2006","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Final Destination 5","Fandango | Movies Anywhere","55779","Final Destination 5","2011","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","For Love of the Game","Fandango | Movies Anywhere","10390","For Love of the Game","1999","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Friends With Benefits","Fandango | Movies Anywhere","50544","Friends with Benefits","2011","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Full Metal Jacket","Fandango | Movies Anywhere","600","Full Metal Jacket","1987","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Furious 7","Fandango | Movies Anywhere","168259","Furious 7","2015","Digital provider added to existing catalog record ""Fast & Furious: Fast 7""."
"REVIEW","Ghost","Fandango","251","Ghost","1990","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Ghostbusters (2016) Extended Edition","Movies Anywhere","","","","No TMDB ID available."
"REVIEW","Ghostbusters: Afterlife","Fandango | Movies Anywhere","425909","Ghostbusters: Afterlife","2021","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Gladiator II","Prime","558449","Gladiator II","2024","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Groundhog Day","Fandango | Movies Anywhere","137","Groundhog Day","1993","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Haul Out the Holly","Prime","1028556","Haul Out the Holly","2022","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Haul Out the Holly: Lit Up","Prime","1154268","Haul Out the Holly: Lit Up","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","History of the World, Part I","Fandango | Movies Anywhere","10156","History of the World: Part I","1981","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Home for the Holidays","Fandango","9089","Home for the Holidays","1995","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Hook","Fandango | Movies Anywhere","879","Hook","1991","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Houseboat","Fandango","1377","Houseboat","1958","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","How the Grinch Stole Christmas! / Horton Hears a Who!","Prime","","","","No TMDB ID available."
"REVIEW","How to Train Your Dragon","Fandango | Movies Anywhere","1087192","How to Train Your Dragon","2025","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","How to Train Your Dragon 2","Fandango | Movies Anywhere","82702","How to Train Your Dragon 2","2014","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Idiocracy","Fandango | Movies Anywhere","7512","Idiocracy","2006","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","In the Grey","Fandango | Movies Anywhere","1122573","In the Grey","2026","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Indian Summer","Fandango | Movies Anywhere","80173","Indian Summer","1995","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Indiscreet","Fandango","22874","Indiscreet","1958","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Is This Thing On?","Fandango | Movies Anywhere","1140498","Is This Thing On?","2025","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","It Happens Every Spring","Fandango | Movies Anywhere","88288","It Happens Every Spring","1949","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Jason Bourne","Fandango | Movies Anywhere","324668","Jason Bourne","2016","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Just One of the Guys","Fandango | Movies Anywhere","24548","Just One of the Guys","1985","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Kill Bill: The Whole Bloody Affair","Fandango","414419","Kill Bill: The Whole Bloody Affair","2011","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Killers","Fandango | Movies Anywhere","241","Natural Born Killers","1994","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Knives Out","Fandango | Movies Anywhere","546554","Knives Out","2019","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Kuffs","Fandango | Movies Anywhere","14603","Kuffs","1992","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Kung Fu Panda","Fandango | Movies Anywhere","9502","Kung Fu Panda","2008","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","La La Land","Fandango | Movies Anywhere","313369","La La Land","2016","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Lean on Me","Fandango | Movies Anywhere","14621","Lean On Me","1989","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Little Big League","Fandango | Movies Anywhere","31504","Little Big League","1994","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Little Shop of Horrors","Fandango | Movies Anywhere","10776","Little Shop of Horrors","1986","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Little Women","Fandango | Movies Anywhere","331482","Little Women","2019","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Lolita","Fandango | Movies Anywhere","9769","Lolita","1997","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","London Has Fallen","Fandango | Movies Anywhere","267860","London Has Fallen","2016","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","MacGruber","Fandango | Movies Anywhere","37931","MacGruber","2010","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Mad Max: Fury Road","Fandango | Movies Anywhere","76341","Mad Max: Fury Road","2015","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Magnolia","Fandango | Movies Anywhere","334","Magnolia","1999","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Magnolia (1999)","Prime","334","Magnolia","1999","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Mary Poppins","Fandango | Movies Anywhere","433","Mary Poppins","1964","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Maze Runner: The Death Cure","Fandango | Movies Anywhere","336843","Maze Runner: The Death Cure","2018","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Maze Runner: The Scorch Trials","Fandango | Movies Anywhere","294254","Maze Runner: The Scorch Trials","2015","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Mechanic Resurrection","Fandango","278924","Mechanic: Resurrection","2016","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Mickey's Magical Christmas: Snowed In at the House of Mouse","Fandango | Movies Anywhere","21448","Mickey's Magical Christmas: Snowed in at the House of Mouse","2001","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Midnight Run","Fandango | Movies Anywhere","9013","Midnight Run","1988","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Miracle on 34th Street","Fandango | Movies Anywhere","10510","Miracle on 34th Street","1994","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Miracle on 34th Street (1947)","Prime","","","","No TMDB ID available."
"REVIEW","Murder on the Orient Express","Fandango | Movies Anywhere","392044","Murder on the Orient Express","2017","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Nerve","Fandango | Movies Anywhere","328387","Nerve","2016","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Network","Fandango | Movies Anywhere","37799","The Social Network","2010","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Never Been Kissed","Fandango | Movies Anywhere","11355","Never Been Kissed","1999","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","No Hard Feelings","Fandango | Movies Anywhere","884605","No Hard Feelings","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Operation Fortune: Ruse de Guerre","Fandango | Movies Anywhere","739405","Operation Fortune: Ruse de Guerre","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Operation Petticoat","Fandango","9660","Operation Petticoat","1959","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Out of Sight","Fandango | Movies Anywhere","1389","Out of Sight","1998","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Paranormal Activity","Fandango","23827","Paranormal Activity","2007","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Passenger 57","Fandango | Movies Anywhere","10538","Passenger 57","1992","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Pixie Hollow Games: Disney Fairies (Short)","Fandango | Movies Anywhere","","","","No TMDB ID available."
"REVIEW","Plane","Fandango | Movies Anywhere","646389","Plane","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Psycho","Fandango","539","Psycho","1960","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Psycho (1998)","Movies Anywhere","","","","No TMDB ID available."
"REVIEW","Puffs","Prime","1247046","Puffs","2024","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Rango","Prime","44896","Rango","2011","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Ready Player One","Fandango | Movies Anywhere","333339","Ready Player One","2018","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Rocky","Fandango","1366","Rocky","1976","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Rocky II","Fandango","1367","Rocky II","1979","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Rocky III","Fandango","1371","Rocky III","1982","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Rocky IV","Fandango","1374","Rocky IV","1985","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Rocky IV: Rocky vs. Drago The Ultimate Director's Cut","Fandango","1374","Rocky IV","1985","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Rocky V","Fandango","1375","Rocky V","1990","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Roger Corman's Death Race 2050","Fandango | Movies Anywhere","401544","Death Race 2050","2017","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Schindler's List","Fandango | Movies Anywhere","424","Schindler's List","1993","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Shelter","Fandango | Movies Anywhere","1290821","Shelter","2026","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Skyfall","Fandango","37724","Skyfall","2012","Digital provider added to existing catalog record ""007: Skyfall""."
"REVIEW","Sneakers","Fandango | Movies Anywhere","2322","Sneakers","1992","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","So I Married An Axe Murderer","Fandango | Movies Anywhere","10442","So I Married an Axe Murderer","1993","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Son-In-Law","Fandango | Movies Anywhere","13203","Son in Law","1993","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Soul Survivors","Fandango","14033","Soul Survivors","2001","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","Spectre","Fandango","206647","Spectre","2015","Digital provider added to existing catalog record ""007: Spectre""."
"REVIEW","Spider-Man: Homecoming","Fandango | Movies Anywhere","315635","Spider-Man: Homecoming","2017","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Spider-Man: Into The Spider-Verse","Fandango | Movies Anywhere","324857","Spider-Man: Into the Spider-Verse","2018","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Spider-Man: No Way Home","Fandango | Movies Anywhere","634649","Spider-Man: No Way Home","2021","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Spy Game","Fandango | Movies Anywhere","1535","Spy Game","2001","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Street Fighter","Fandango | Movies Anywhere","11667","Street Fighter","1994","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Sudden Death","Fandango | Movies Anywhere","9091","Sudden Death","1995","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Sunset Boulevard","Fandango","599","Sunset Boulevard","1950","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Teen Witch","Prime","25199","Teen Witch","1989","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","That Touch of Mink","Fandango","12708","That Touch of Mink","1962","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Addams Family","Fandango","481084","The Addams Family","2019","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The American President","Fandango | Movies Anywhere","9087","The American President","1995","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Conversation","Fandango","592","The Conversation","1974","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Expendables 3","Fandango | Movies Anywhere","138103","The Expendables 3","2014","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Fall Guy","Fandango | Movies Anywhere","746036","The Fall Guy","2024","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","The Fate of the Furious","Fandango | Movies Anywhere","337339","The Fate of the Furious","2017","Digital provider added to existing catalog record ""Fast & Furious: Fast 8""."
"REVIEW","The Final Destination 4","Movies Anywhere","19912","The Final Destination","2009","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Fugitive","Fandango | Movies Anywhere","5503","The Fugitive","1993","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Grass Is Greener","Fandango","25767","The Grass Is Greener","1960","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Great Outdoors","Fandango | Movies Anywhere","2617","The Great Outdoors","1988","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","The Hangover Part 2","Fandango","45243","The Hangover Part II","2011","Digital provider added to existing catalog record ""Hangover Part II, The""."
"REVIEW","The Hangover Part 3","Fandango","109439","The Hangover Part III","2013","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","The Hangover Part II","Movies Anywhere","45243","The Hangover Part II","2011","Digital provider added to existing catalog record ""Hangover Part II, The""."
"REVIEW","The Hangover Part III","Movies Anywhere","109439","The Hangover Part III","2013","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Housemaid","Fandango | Movies Anywhere","1368166","The Housemaid","2025","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Hunger Games: The Ballad of Songbirds & Snakes","Fandango | Movies Anywhere","695721","The Hunger Games: The Ballad of Songbirds & Snakes","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Italian Job","Fandango","9654","The Italian Job","2003","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Land Before Time XII: The Great Day of the Flyers","Fandango | Movies Anywhere","31933","The Land Before Time XII: The Great Day of the Flyers","2006","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The LEGO Ninjago Movie","Fandango | Movies Anywhere","274862","The Lego Ninjago Movie","2017","TMDB ID was not supplied in the import file; manual confirmation required."
"UPDATE","The Lost World: Jurassic Park","Fandango | Movies Anywhere","330","The Lost World: Jurassic Park","1997","Digital provider added to existing catalog record ""Jurassic Park: The Lost World""."
"REVIEW","The Man Who Invented Christmas","Fandango | Movies Anywhere","450322","The Man Who Invented Christmas","2017","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Mask of Zorro","Fandango | Movies Anywhere","9342","The Mask of Zorro","1998","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Maze Runner","Fandango | Movies Anywhere","198663","The Maze Runner","2014","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Ministry Of Ungentlemanly Warfare","Fandango | Movies Anywhere","799583","The Ministry of Ungentlemanly Warfare","2024","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Naked Gun","Fandango","1035259","The Naked Gun","2025","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Nice Guys","Fandango | Movies Anywhere","290250","The Nice Guys","2016","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Producers","Fandango | Movies Anywhere","30197","The Producers","1968","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Prot̩g̩","Fandango | Movies Anywhere","","","","No TMDB ID available."
"REVIEW","The Score","Fandango","11371","The Score","2001","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Shining","Fandango | Movies Anywhere","694","The Shining","1980","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Siege","Fandango | Movies Anywhere","9882","The Siege","1998","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Sound of Music","Fandango | Movies Anywhere","15121","The Sound of Music","1965","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Super Mario Bros. Movie","Fandango | Movies Anywhere","502356","The Super Mario Bros. Movie","2023","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The Unbearable Weight of Massive Talent","Fandango | Movies Anywhere","648579","The Unbearable Weight of Massive Talent","2022","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","The War of the Roses","Fandango | Movies Anywhere","249","The War of the Roses","1989","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","To Catch a Thief","Fandango","381","To Catch a Thief","1955","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Twister","Fandango | Movies Anywhere","664","Twister","1996","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Twisters","Fandango | Movies Anywhere","718821","Twisters","2024","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Valentine's Day","Fandango | Movies Anywhere","32856","Valentine's Day","2010","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Venom","Fandango | Movies Anywhere","335983","Venom","2018","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Venom: Let There Be Carnage","Fandango | Movies Anywhere","580489","Venom: Let There Be Carnage","2021","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","Vertigo","Fandango | Movies Anywhere","426","Vertigo","1958","TMDB ID was not supplied in the import file; manual confirmation required."
"REVIEW","What Happens Later","Prime","970948","What Happens Later","2023","TMDB ID was not supplied in the import file; manual confirmation required."
