action,title,digital_sources,tmdbId,tmdbTitle,tmdbYear,catalogTitle,catalogYear,catalogDigital,reason
MATCH,Wonka,Fandango | Movies Anywhere,787699,Wonka,2023,Wonka,2023,,TMDB ID matches existing catalog record.
MATCH,Wrath of Man,Fandango,637649,Wrath of Man,2021,Wrath of Man,2021,,TMDB ID matches existing catalog record.
MATCH,X-Men: Days of Future Past,Fandango | Movies Anywhere,127585,X-Men: Days of Future Past,2014,X-Men: Days of Future Past,2014,,TMDB ID matches existing catalog record.
MATCH,Aladdin,Fandango | Movies Anywhere,420817,Aladdin,2019,Aladdin,2019,,TMDB ID matches existing catalog record.
MATCH,Rambo: First Blood,Fandango | Movies Anywhere | Prime,1368,First Blood,1982,Rambo: First Blood,1976,,TMDB ID matches existing catalog record.
NEW,2001: A Space Odyssey,Fandango | Movies Anywhere,62,2001: A Space Odyssey,1968,,,,TMDB ID does not exist in movies.js.
NEW,300: Rise of an Empire,Fandango | Movies Anywhere,53182,300: Rise of an Empire,2014,,,,TMDB ID does not exist in movies.js.
NEW,A Bad Moms Christmas,Fandango | Movies Anywhere,431530,A Bad Moms Christmas,2017,,,,TMDB ID does not exist in movies.js.
NEW,A Clockwork Orange,Fandango | Movies Anywhere,185,A Clockwork Orange,1971,,,,TMDB ID does not exist in movies.js.
NEW,A Knight's Tale,Fandango | Movies Anywhere,9476,A Knight's Tale,2001,,,,TMDB ID does not exist in movies.js.
NEW,A Merry Friggin' Christmas,Prime,286532,A Merry Friggin' Christmas,2014,,,,TMDB ID does not exist in movies.js.
NEW,A Very Nutty Christmas,Prime,550651,A Very Nutty Christmas,2018,,,,TMDB ID does not exist in movies.js.
NEW,Addams Family Values,Fandango,2758,Addams Family Values,1993,,,,TMDB ID does not exist in movies.js.
NEW,Aladdin and the King of Thieves,Fandango | Movies Anywhere,11238,Aladdin and the King of Thieves,1996,,,,TMDB ID does not exist in movies.js.
NEW,Aladdin: The Return of Jafar,Fandango | Movies Anywhere,15969,The Return of Jafar,1994,,,,TMDB ID does not exist in movies.js.
NEW,Anna,Fandango | Movies Anywhere,484641,Anna,2019,,,,TMDB ID does not exist in movies.js.
NEW,Annie,Fandango | Movies Anywhere,196867,Annie,2014,,,,TMDB ID does not exist in movies.js.
NEW,Anyone But You,Fandango | Movies Anywhere,1072790,Anyone but You,2023,,,,TMDB ID does not exist in movies.js.
NEW,Away From Her,Fandango,1919,Away from Her,2007,,,,TMDB ID does not exist in movies.js.
NEW,Bad Boys: Ride or Die,Fandango | Movies Anywhere,573435,Bad Boys: Ride or Die,2024,,,,TMDB ID does not exist in movies.js.
NEW,Bad Santa 2 Unrated,Prime,338964,Bad Santa 2,2016,,,,TMDB ID does not exist in movies.js.
NEW,Bad Times at The El Royale,Fandango | Movies Anywhere,446021,Bad Times at the El Royale,2018,,,,TMDB ID does not exist in movies.js.
MATCH,Ballerina: From the World of John Wick,Fandango | Movies Anywhere,541671,Ballerina,2025,Ballerina,2025,,TMDB ID matches existing catalog record.
NEW,Barbie,Fandango | Movies Anywhere,346698,Barbie,2023,,,,TMDB ID does not exist in movies.js.
NEW,Barry Lyndon,Fandango | Movies Anywhere,3175,Barry Lyndon,1975,,,,TMDB ID does not exist in movies.js.
NEW,Basic Instinct,Prime,402,Basic Instinct,1992,,,,TMDB ID does not exist in movies.js.
NEW,Batman & Mr. Freeze: Sub-Zero,Fandango | Movies Anywhere,15805,Batman & Mr. Freeze: SubZero,1998,,,,TMDB ID does not exist in movies.js.
NEW,Batman: Mask of the Phantasm,Fandango | Movies Anywhere,14919,Batman: Mask of the Phantasm,1993,,,,TMDB ID does not exist in movies.js.
NEW,Behind Enemy Lines,Fandango | Movies Anywhere,8007,Behind Enemy Lines,2001,,,,TMDB ID does not exist in movies.js.
NEW,Being John Malkovich,Fandango | Movies Anywhere,492,Being John Malkovich,1999,,,,TMDB ID does not exist in movies.js.
NEW,Big Hero 6,Fandango | Movies Anywhere,177572,Big Hero 6,2014,,,,TMDB ID does not exist in movies.js.
NEW,Big Trouble In Little China,Fandango | Movies Anywhere,6978,Big Trouble in Little China,1986,,,,TMDB ID does not exist in movies.js.
NEW,Bill & Ted Face the Music,Fandango,501979,Bill & Ted Face the Music,2020,,,,TMDB ID does not exist in movies.js.
NEW,Bill and Ted's Bogus Journey,Fandango,1649,Bill & Ted's Bogus Journey,1991,,,,TMDB ID does not exist in movies.js.
NEW,Bill and Ted's Excellent Adventure,Fandango,1648,Bill & Ted's Excellent Adventure,1989,,,,TMDB ID does not exist in movies.js.
MATCH,Birds Of Prey And The Fantabulous Emancipation Of One Harley Quinn,Fandango | Movies Anywhere,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,Birds of Prey,2020,,TMDB ID matches existing catalog record.
NEW,Blade Runner 2049,Fandango | Movies Anywhere,335984,Blade Runner 2049,2017,,,,TMDB ID does not exist in movies.js.
NEW,Boogie Nights,Fandango | Movies Anywhere,4995,Boogie Nights,1997,,,,TMDB ID does not exist in movies.js.
REVIEW,Carrie (1976),Prime,,,,,,,No TMDB ID available.
NEW,Catch Me if You Can,Fandango,640,Catch Me If You Can,2002,,,,TMDB ID does not exist in movies.js.
NEW,Chicago,Prime,1574,Chicago,2002,,,,TMDB ID does not exist in movies.js.
NEW,Christmas in Connecticut,Fandango | Movies Anywhere,13669,Christmas in Connecticut,1945,,,,TMDB ID does not exist in movies.js.
NEW,Clerks III,Fandango,635891,Clerks III,2022,,,,TMDB ID does not exist in movies.js.
NEW,Clue,Prime,15196,Clue,1985,,,,TMDB ID does not exist in movies.js.
NEW,Cold Pursuit,Fandango | Movies Anywhere,438650,Cold Pursuit,2019,,,,TMDB ID does not exist in movies.js.
NEW,Conan The Barbarian,Fandango | Movies Anywhere,9387,Conan the Barbarian,1982,,,,TMDB ID does not exist in movies.js.
NEW,Cowboys & Aliens,Fandango | Movies Anywhere,49849,Cowboys & Aliens,2011,,,,TMDB ID does not exist in movies.js.
NEW,"Crazy, Stupid, Love",Fandango | Movies Anywhere,50646,"Crazy, Stupid, Love.",2011,,,,TMDB ID does not exist in movies.js.
NEW,Daylight,Fandango | Movies Anywhere,11228,Daylight,1996,,,,TMDB ID does not exist in movies.js.
NEW,Dear Santa,Fandango,1097870,Dear Santa,2024,,,,TMDB ID does not exist in movies.js.
NEW,Death Becomes Her,Fandango | Movies Anywhere,9374,Death Becomes Her,1992,,,,TMDB ID does not exist in movies.js.
NEW,Death Race 2,Fandango | Movies Anywhere,51620,Death Race 2,2010,,,,TMDB ID does not exist in movies.js.
MATCH,Divergent,Fandango | Movies Anywhere,157350,Divergent,2014,Divergent Saga: Divergent,2014,,TMDB ID matches existing catalog record.
NEW,Dogma,Fandango | Movies Anywhere,1832,Dogma,1999,,,,TMDB ID does not exist in movies.js.
MATCH,Dr. Seuss' The Lorax,Fandango | Movies Anywhere,73723,The Lorax,2012,"Lorax, The",2012,,TMDB ID matches existing catalog record.
NEW,Dungeons & Dragons: Honor Among Thieves,Prime,493529,Dungeons & Dragons: Honor Among Thieves,2023,,,,TMDB ID does not exist in movies.js.
NEW,Easy A,Fandango | Movies Anywhere,37735,Easy A,2010,,,,TMDB ID does not exist in movies.js.
NEW,Eraser,Fandango | Movies Anywhere,9268,Eraser,1996,,,,TMDB ID does not exist in movies.js.
NEW,Escape Plan,Fandango | Movies Anywhere,107846,Escape Plan,2013,,,,TMDB ID does not exist in movies.js.
NEW,Eyes Wide Shut,Fandango | Movies Anywhere,345,Eyes Wide Shut,1999,,,,TMDB ID does not exist in movies.js.
MATCH,F9 The Fast Saga,Fandango | Movies Anywhere,385128,F9,2021,Fast & Furious: F 9,2021,,TMDB ID matches existing catalog record.
MATCH,F9 The Fast Saga: The Director's Cut,Fandango,385128,F9,2021,Fast & Furious: F 9,2021,,TMDB ID matches existing catalog record.
NEW,Family Plot,Fandango | Movies Anywhere,5854,Family Plot,1976,,,,TMDB ID does not exist in movies.js.
NEW,Fantastic Beasts and Where to Find Them,Fandango | Movies Anywhere,259316,Fantastic Beasts and Where to Find Them,2016,,,,TMDB ID does not exist in movies.js.
NEW,Fantastic Beasts: The Crimes Of Grindelwald,Fandango | Movies Anywhere,338952,Fantastic Beasts: The Crimes of Grindelwald,2018,,,,TMDB ID does not exist in movies.js.
NEW,Fast & Furious,Fandango | Movies Anywhere,384018,Fast & Furious Presents: Hobbs & Shaw,2019,,,,TMDB ID does not exist in movies.js.
NEW,Fast & Furious Presents: Hobbs & Shaw,Fandango | Movies Anywhere,384018,Fast & Furious Presents: Hobbs & Shaw,2019,,,,TMDB ID does not exist in movies.js.
MATCH,Fast Five,Fandango | Movies Anywhere,51497,Fast Five,2011,Fast & Furious: Fast 5,2011,,TMDB ID matches existing catalog record.
MATCH,Fast X,Fandango | Movies Anywhere,385687,Fast X,2023,Fast & Furious: Fast 10,2023,,TMDB ID matches existing catalog record.
NEW,Father Goose,Fandango,30295,Father Goose,1964,,,,TMDB ID does not exist in movies.js.
NEW,Final Destination 3,Fandango | Movies Anywhere,9286,Final Destination 3,2006,,,,TMDB ID does not exist in movies.js.
NEW,Final Destination 5,Fandango | Movies Anywhere,55779,Final Destination 5,2011,,,,TMDB ID does not exist in movies.js.
NEW,For Love of the Game,Fandango | Movies Anywhere,10390,For Love of the Game,1999,,,,TMDB ID does not exist in movies.js.
NEW,Friends With Benefits,Fandango | Movies Anywhere,50544,Friends with Benefits,2011,,,,TMDB ID does not exist in movies.js.
NEW,Full Metal Jacket,Fandango | Movies Anywhere,600,Full Metal Jacket,1987,,,,TMDB ID does not exist in movies.js.
MATCH,Furious 7,Fandango | Movies Anywhere,168259,Furious 7,2015,Fast & Furious: Fast 7,2015,,TMDB ID matches existing catalog record.
NEW,Ghost,Fandango,251,Ghost,1990,,,,TMDB ID does not exist in movies.js.
REVIEW,Ghostbusters (2016) Extended Edition,Movies Anywhere,,,,,,,No TMDB ID available.
NEW,Ghostbusters: Afterlife,Fandango | Movies Anywhere,425909,Ghostbusters: Afterlife,2021,,,,TMDB ID does not exist in movies.js.
NEW,Gladiator II,Prime,558449,Gladiator II,2024,,,,TMDB ID does not exist in movies.js.
NEW,Groundhog Day,Fandango | Movies Anywhere,137,Groundhog Day,1993,,,,TMDB ID does not exist in movies.js.
NEW,Haul Out the Holly,Prime,1028556,Haul Out the Holly,2022,,,,TMDB ID does not exist in movies.js.
NEW,Haul Out the Holly: Lit Up,Prime,1154268,Haul Out the Holly: Lit Up,2023,,,,TMDB ID does not exist in movies.js.
NEW,"History of the World, Part I",Fandango | Movies Anywhere,10156,History of the World: Part I,1981,,,,TMDB ID does not exist in movies.js.
NEW,Home for the Holidays,Fandango,9089,Home for the Holidays,1995,,,,TMDB ID does not exist in movies.js.
NEW,Hook,Fandango | Movies Anywhere,879,Hook,1991,,,,TMDB ID does not exist in movies.js.
NEW,Houseboat,Fandango,1377,Houseboat,1958,,,,TMDB ID does not exist in movies.js.
REVIEW,How the Grinch Stole Christmas! / Horton Hears a Who!,Prime,,,,,,,No TMDB ID available.
NEW,How to Train Your Dragon,Fandango | Movies Anywhere,1087192,How to Train Your Dragon,2025,,,,TMDB ID does not exist in movies.js.
NEW,How to Train Your Dragon 2,Fandango | Movies Anywhere,82702,How to Train Your Dragon 2,2014,,,,TMDB ID does not exist in movies.js.
NEW,Idiocracy,Fandango | Movies Anywhere,7512,Idiocracy,2006,,,,TMDB ID does not exist in movies.js.
NEW,In the Grey,Fandango | Movies Anywhere,1122573,In the Grey,2026,,,,TMDB ID does not exist in movies.js.
NEW,Indian Summer,Fandango | Movies Anywhere,80173,Indian Summer,1995,,,,TMDB ID does not exist in movies.js.
NEW,Indiscreet,Fandango,22874,Indiscreet,1958,,,,TMDB ID does not exist in movies.js.
NEW,Is This Thing On?,Fandango | Movies Anywhere,1140498,Is This Thing On?,2025,,,,TMDB ID does not exist in movies.js.
NEW,It Happens Every Spring,Fandango | Movies Anywhere,88288,It Happens Every Spring,1949,,,,TMDB ID does not exist in movies.js.
NEW,Jason Bourne,Fandango | Movies Anywhere,324668,Jason Bourne,2016,,,,TMDB ID does not exist in movies.js.
NEW,Just One of the Guys,Fandango | Movies Anywhere,24548,Just One of the Guys,1985,,,,TMDB ID does not exist in movies.js.
NEW,Kill Bill: The Whole Bloody Affair,Fandango,414419,Kill Bill: The Whole Bloody Affair,2011,,,,TMDB ID does not exist in movies.js.
NEW,Killers,Fandango | Movies Anywhere,241,Natural Born Killers,1994,,,,TMDB ID does not exist in movies.js.
NEW,Knives Out,Fandango | Movies Anywhere,546554,Knives Out,2019,,,,TMDB ID does not exist in movies.js.
NEW,Kuffs,Fandango | Movies Anywhere,14603,Kuffs,1992,,,,TMDB ID does not exist in movies.js.
NEW,Kung Fu Panda,Fandango | Movies Anywhere,9502,Kung Fu Panda,2008,,,,TMDB ID does not exist in movies.js.
NEW,La La Land,Fandango | Movies Anywhere,313369,La La Land,2016,,,,TMDB ID does not exist in movies.js.
NEW,Lean on Me,Fandango | Movies Anywhere,14621,Lean On Me,1989,,,,TMDB ID does not exist in movies.js.
NEW,Little Big League,Fandango | Movies Anywhere,31504,Little Big League,1994,,,,TMDB ID does not exist in movies.js.
NEW,Little Shop of Horrors,Fandango | Movies Anywhere,10776,Little Shop of Horrors,1986,,,,TMDB ID does not exist in movies.js.
NEW,Little Women,Fandango | Movies Anywhere,331482,Little Women,2019,,,,TMDB ID does not exist in movies.js.
NEW,Lolita,Fandango | Movies Anywhere,9769,Lolita,1997,,,,TMDB ID does not exist in movies.js.
NEW,London Has Fallen,Fandango | Movies Anywhere,267860,London Has Fallen,2016,,,,TMDB ID does not exist in movies.js.
NEW,MacGruber,Fandango | Movies Anywhere,37931,MacGruber,2010,,,,TMDB ID does not exist in movies.js.
NEW,Mad Max: Fury Road,Fandango | Movies Anywhere,76341,Mad Max: Fury Road,2015,,,,TMDB ID does not exist in movies.js.
NEW,Magnolia,Fandango | Movies Anywhere,334,Magnolia,1999,,,,TMDB ID does not exist in movies.js.
NEW,Magnolia (1999),Prime,334,Magnolia,1999,,,,TMDB ID does not exist in movies.js.
NEW,Mary Poppins,Fandango | Movies Anywhere,433,Mary Poppins,1964,,,,TMDB ID does not exist in movies.js.
NEW,Maze Runner: The Death Cure,Fandango | Movies Anywhere,336843,Maze Runner: The Death Cure,2018,,,,TMDB ID does not exist in movies.js.
NEW,Maze Runner: The Scorch Trials,Fandango | Movies Anywhere,294254,Maze Runner: The Scorch Trials,2015,,,,TMDB ID does not exist in movies.js.
NEW,Mechanic Resurrection,Fandango,278924,Mechanic: Resurrection,2016,,,,TMDB ID does not exist in movies.js.
NEW,Mickey's Magical Christmas: Snowed In at the House of Mouse,Fandango | Movies Anywhere,21448,Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,,,,TMDB ID does not exist in movies.js.
NEW,Midnight Run,Fandango | Movies Anywhere,9013,Midnight Run,1988,,,,TMDB ID does not exist in movies.js.
NEW,Miracle on 34th Street,Fandango | Movies Anywhere,10510,Miracle on 34th Street,1994,,,,TMDB ID does not exist in movies.js.
REVIEW,Miracle on 34th Street (1947),Prime,,,,,,,No TMDB ID available.
NEW,Murder on the Orient Express,Fandango | Movies Anywhere,392044,Murder on the Orient Express,2017,,,,TMDB ID does not exist in movies.js.
NEW,Nerve,Fandango | Movies Anywhere,328387,Nerve,2016,,,,TMDB ID does not exist in movies.js.
NEW,Network,Fandango | Movies Anywhere,37799,The Social Network,2010,,,,TMDB ID does not exist in movies.js.
NEW,Never Been Kissed,Fandango | Movies Anywhere,11355,Never Been Kissed,1999,,,,TMDB ID does not exist in movies.js.
NEW,No Hard Feelings,Fandango | Movies Anywhere,884605,No Hard Feelings,2023,,,,TMDB ID does not exist in movies.js.
NEW,Operation Fortune: Ruse de Guerre,Fandango | Movies Anywhere,739405,Operation Fortune: Ruse de Guerre,2023,,,,TMDB ID does not exist in movies.js.
NEW,Operation Petticoat,Fandango,9660,Operation Petticoat,1959,,,,TMDB ID does not exist in movies.js.
NEW,Out of Sight,Fandango | Movies Anywhere,1389,Out of Sight,1998,,,,TMDB ID does not exist in movies.js.
NEW,Paranormal Activity,Fandango,23827,Paranormal Activity,2007,,,,TMDB ID does not exist in movies.js.
NEW,Passenger 57,Fandango | Movies Anywhere,10538,Passenger 57,1992,,,,TMDB ID does not exist in movies.js.
REVIEW,Pixie Hollow Games: Disney Fairies (Short),Fandango | Movies Anywhere,,,,,,,No TMDB ID available.
NEW,Plane,Fandango | Movies Anywhere,646389,Plane,2023,,,,TMDB ID does not exist in movies.js.
NEW,Psycho,Fandango,539,Psycho,1960,,,,TMDB ID does not exist in movies.js.
REVIEW,Psycho (1998),Movies Anywhere,,,,,,,No TMDB ID available.
NEW,Puffs,Prime,1247046,Puffs,2024,,,,TMDB ID does not exist in movies.js.
NEW,Rango,Prime,44896,Rango,2011,,,,TMDB ID does not exist in movies.js.
NEW,Ready Player One,Fandango | Movies Anywhere,333339,Ready Player One,2018,,,,TMDB ID does not exist in movies.js.
NEW,Rocky,Fandango,1366,Rocky,1976,,,,TMDB ID does not exist in movies.js.
NEW,Rocky II,Fandango,1367,Rocky II,1979,,,,TMDB ID does not exist in movies.js.
NEW,Rocky III,Fandango,1371,Rocky III,1982,,,,TMDB ID does not exist in movies.js.
NEW,Rocky IV,Fandango,1374,Rocky IV,1985,,,,TMDB ID does not exist in movies.js.
NEW,Rocky IV: Rocky vs. Drago The Ultimate Director's Cut,Fandango,1374,Rocky IV,1985,,,,TMDB ID does not exist in movies.js.
NEW,Rocky V,Fandango,1375,Rocky V,1990,,,,TMDB ID does not exist in movies.js.
NEW,Roger Corman's Death Race 2050,Fandango | Movies Anywhere,401544,Death Race 2050,2017,,,,TMDB ID does not exist in movies.js.
NEW,Schindler's List,Fandango | Movies Anywhere,424,Schindler's List,1993,,,,TMDB ID does not exist in movies.js.
NEW,Shelter,Fandango | Movies Anywhere,1290821,Shelter,2026,,,,TMDB ID does not exist in movies.js.
MATCH,Skyfall,Fandango,37724,Skyfall,2012,007: Skyfall,2012,,TMDB ID matches existing catalog record.
NEW,Sneakers,Fandango | Movies Anywhere,2322,Sneakers,1992,,,,TMDB ID does not exist in movies.js.
NEW,So I Married An Axe Murderer,Fandango | Movies Anywhere,10442,So I Married an Axe Murderer,1993,,,,TMDB ID does not exist in movies.js.
NEW,Son-In-Law,Fandango | Movies Anywhere,13203,Son in Law,1993,,,,TMDB ID does not exist in movies.js.
NEW,Soul Survivors,Fandango,14033,Soul Survivors,2001,,,,TMDB ID does not exist in movies.js.
MATCH,Spectre,Fandango,206647,Spectre,2015,007: Spectre,2015,,TMDB ID matches existing catalog record.
NEW,Spider-Man: Homecoming,Fandango | Movies Anywhere,315635,Spider-Man: Homecoming,2017,,,,TMDB ID does not exist in movies.js.
NEW,Spider-Man: Into The Spider-Verse,Fandango | Movies Anywhere,324857,Spider-Man: Into the Spider-Verse,2018,,,,TMDB ID does not exist in movies.js.
NEW,Spider-Man: No Way Home,Fandango | Movies Anywhere,634649,Spider-Man: No Way Home,2021,,,,TMDB ID does not exist in movies.js.
NEW,Spy Game,Fandango | Movies Anywhere,1535,Spy Game,2001,,,,TMDB ID does not exist in movies.js.
NEW,Street Fighter,Fandango | Movies Anywhere,11667,Street Fighter,1994,,,,TMDB ID does not exist in movies.js.
NEW,Sudden Death,Fandango | Movies Anywhere,9091,Sudden Death,1995,,,,TMDB ID does not exist in movies.js.
NEW,Sunset Boulevard,Fandango,599,Sunset Boulevard,1950,,,,TMDB ID does not exist in movies.js.
NEW,Teen Witch,Prime,25199,Teen Witch,1989,,,,TMDB ID does not exist in movies.js.
NEW,That Touch of Mink,Fandango,12708,That Touch of Mink,1962,,,,TMDB ID does not exist in movies.js.
NEW,The Addams Family,Fandango,481084,The Addams Family,2019,,,,TMDB ID does not exist in movies.js.
NEW,The American President,Fandango | Movies Anywhere,9087,The American President,1995,,,,TMDB ID does not exist in movies.js.
NEW,The Conversation,Fandango,592,The Conversation,1974,,,,TMDB ID does not exist in movies.js.
NEW,The Expendables 3,Fandango | Movies Anywhere,138103,The Expendables 3,2014,,,,TMDB ID does not exist in movies.js.
NEW,The Fall Guy,Fandango | Movies Anywhere,746036,The Fall Guy,2024,,,,TMDB ID does not exist in movies.js.
MATCH,The Fate of the Furious,Fandango | Movies Anywhere,337339,The Fate of the Furious,2017,Fast & Furious: Fast 8,2017,,TMDB ID matches existing catalog record.
NEW,The Final Destination 4,Movies Anywhere,19912,The Final Destination,2009,,,,TMDB ID does not exist in movies.js.
NEW,The Fugitive,Fandango | Movies Anywhere,5503,The Fugitive,1993,,,,TMDB ID does not exist in movies.js.
NEW,The Grass Is Greener,Fandango,25767,The Grass Is Greener,1960,,,,TMDB ID does not exist in movies.js.
NEW,The Great Outdoors,Fandango | Movies Anywhere,2617,The Great Outdoors,1988,,,,TMDB ID does not exist in movies.js.
MATCH,The Hangover Part 2,Fandango,45243,The Hangover Part II,2011,"Hangover Part II, The",2011,,TMDB ID matches existing catalog record.
NEW,The Hangover Part 3,Fandango,109439,The Hangover Part III,2013,,,,TMDB ID does not exist in movies.js.
MATCH,The Hangover Part II,Movies Anywhere,45243,The Hangover Part II,2011,"Hangover Part II, The",2011,,TMDB ID matches existing catalog record.
NEW,The Hangover Part III,Movies Anywhere,109439,The Hangover Part III,2013,,,,TMDB ID does not exist in movies.js.
NEW,The Housemaid,Fandango | Movies Anywhere,1368166,The Housemaid,2025,,,,TMDB ID does not exist in movies.js.
NEW,The Hunger Games: The Ballad of Songbirds & Snakes,Fandango | Movies Anywhere,695721,The Hunger Games: The Ballad of Songbirds & Snakes,2023,,,,TMDB ID does not exist in movies.js.
NEW,The Italian Job,Fandango,9654,The Italian Job,2003,,,,TMDB ID does not exist in movies.js.
NEW,The Land Before Time XII: The Great Day of the Flyers,Fandango | Movies Anywhere,31933,The Land Before Time XII: The Great Day of the Flyers,2006,,,,TMDB ID does not exist in movies.js.
NEW,The LEGO Ninjago Movie,Fandango | Movies Anywhere,274862,The Lego Ninjago Movie,2017,,,,TMDB ID does not exist in movies.js.
MATCH,The Lost World: Jurassic Park,Fandango | Movies Anywhere,330,The Lost World: Jurassic Park,1997,Jurassic Park: The Lost World,1997,,TMDB ID matches existing catalog record.
NEW,The Man Who Invented Christmas,Fandango | Movies Anywhere,450322,The Man Who Invented Christmas,2017,,,,TMDB ID does not exist in movies.js.
NEW,The Mask of Zorro,Fandango | Movies Anywhere,9342,The Mask of Zorro,1998,,,,TMDB ID does not exist in movies.js.
NEW,The Maze Runner,Fandango | Movies Anywhere,198663,The Maze Runner,2014,,,,TMDB ID does not exist in movies.js.
NEW,The Ministry Of Ungentlemanly Warfare,Fandango | Movies Anywhere,799583,The Ministry of Ungentlemanly Warfare,2024,,,,TMDB ID does not exist in movies.js.
NEW,The Naked Gun,Fandango,1035259,The Naked Gun,2025,,,,TMDB ID does not exist in movies.js.
NEW,The Nice Guys,Fandango | Movies Anywhere,290250,The Nice Guys,2016,,,,TMDB ID does not exist in movies.js.
NEW,The Producers,Fandango | Movies Anywhere,30197,The Producers,1968,,,,TMDB ID does not exist in movies.js.
REVIEW,The Prot̩g̩,Fandango | Movies Anywhere,,,,,,,No TMDB ID available.
NEW,The Score,Fandango,11371,The Score,2001,,,,TMDB ID does not exist in movies.js.
NEW,The Shining,Fandango | Movies Anywhere,694,The Shining,1980,,,,TMDB ID does not exist in movies.js.
NEW,The Siege,Fandango | Movies Anywhere,9882,The Siege,1998,,,,TMDB ID does not exist in movies.js.
NEW,The Sound of Music,Fandango | Movies Anywhere,15121,The Sound of Music,1965,,,,TMDB ID does not exist in movies.js.
NEW,The Super Mario Bros. Movie,Fandango | Movies Anywhere,502356,The Super Mario Bros. Movie,2023,,,,TMDB ID does not exist in movies.js.
NEW,The Unbearable Weight of Massive Talent,Fandango | Movies Anywhere,648579,The Unbearable Weight of Massive Talent,2022,,,,TMDB ID does not exist in movies.js.
NEW,The War of the Roses,Fandango | Movies Anywhere,249,The War of the Roses,1989,,,,TMDB ID does not exist in movies.js.
NEW,To Catch a Thief,Fandango,381,To Catch a Thief,1955,,,,TMDB ID does not exist in movies.js.
NEW,Twister,Fandango | Movies Anywhere,664,Twister,1996,,,,TMDB ID does not exist in movies.js.
NEW,Twisters,Fandango | Movies Anywhere,718821,Twisters,2024,,,,TMDB ID does not exist in movies.js.
NEW,Valentine's Day,Fandango | Movies Anywhere,32856,Valentine's Day,2010,,,,TMDB ID does not exist in movies.js.
NEW,Venom,Fandango | Movies Anywhere,335983,Venom,2018,,,,TMDB ID does not exist in movies.js.
NEW,Venom: Let There Be Carnage,Fandango | Movies Anywhere,580489,Venom: Let There Be Carnage,2021,,,,TMDB ID does not exist in movies.js.
NEW,Vertigo,Fandango | Movies Anywhere,426,Vertigo,1958,,,,TMDB ID does not exist in movies.js.
NEW,What Happens Later,Prime,970948,What Happens Later,2023,,,,TMDB ID does not exist in movies.js.
