action,title,digital_sources,tmdbId,tmdbTitle,tmdbYear,catalogTitle,catalogYear,catalogDigital,reason
MATCH,"Expendables 2, The",Fandango | Movies Anywhere,76163,The Expendables 2,2012,"Expendables 2, The",2012,,TMDB ID matches existing catalog record.
MATCH,"Expendables, The",Fandango | Movies Anywhere,27578,The Expendables,2010,"Expendables, The",2010,,TMDB ID matches existing catalog record.
MATCH,Fast & Furious: Fast 6,Fandango | Movies Anywhere,82992,Fast & Furious 6,2013,Fast & Furious: Fast 6,2013,,TMDB ID matches existing catalog record.
MATCH,Field of Dreams,Fandango | Movies Anywhere,2323,Field of Dreams,1989,Field of Dreams,1989,,TMDB ID matches existing catalog record.
MATCH,Final Destination,Fandango | Movies Anywhere,9532,Final Destination,2000,Final Destination,2000,,TMDB ID matches existing catalog record.
MATCH,Final Destination 2,Fandango | Movies Anywhere,9358,Final Destination 2,2003,Final Destination 2,2003,,TMDB ID matches existing catalog record.
MATCH,"Flash, The",Fandango | Movies Anywhere,298618,The Flash,2023,"Flash, The",2023,,TMDB ID matches existing catalog record.
MATCH,Frozen,Fandango | Movies Anywhere,109445,Frozen,2013,Frozen,2013,,TMDB ID matches existing catalog record.
MATCH,G.I. Joe: Retaliation,Fandango,72559,G.I. Joe: Retaliation,2013,G.I. Joe: Retaliation,2013,,TMDB ID matches existing catalog record.
MATCH,Ghostbusters,Fandango | Prime,620,Ghostbusters,1984,Ghostbusters,1984,,TMDB ID matches existing catalog record.
MATCH,"Girl with the Dragon Tattoo, The",Fandango | Movies Anywhere,65754,The Girl with the Dragon Tattoo,2011,"Girl with the Dragon Tattoo, The",2011,,TMDB ID matches existing catalog record.
MATCH,Gladiator,Fandango,98,Gladiator,2000,Gladiator,2000,,TMDB ID matches existing catalog record.
MATCH,"Greatest Showman, The",Fandango | Movies Anywhere,316029,The Greatest Showman,2017,"Greatest Showman, The",2017,,TMDB ID matches existing catalog record.
MATCH,"Grinch, The",Fandango | Movies Anywhere,360920,The Grinch,2018,"Grinch, The",2018,,TMDB ID matches existing catalog record.
MATCH,Grown Ups 2,Fandango | Movies Anywhere,109418,Grown Ups 2,2013,Grown Ups 2,2013,,TMDB ID matches existing catalog record.
MATCH,Grudge Match,Fandango | Movies Anywhere,64807,Grudge Match,2013,Grudge Match,2013,,TMDB ID matches existing catalog record.
MATCH,Guardians of the Galaxy Vol. 2,Fandango | Movies Anywhere,283995,Guardians of the Galaxy Vol. 2,2017,Guardians of the Galaxy Vol. 2,2017,,TMDB ID matches existing catalog record.
MATCH,Harry Potter and the Chamber of Secrets,Fandango | Movies Anywhere,672,Harry Potter and the Chamber of Secrets,2002,Harry Potter and the Chamber of Secrets,2002,,TMDB ID matches existing catalog record.
