title,digital,status,existing_match,source_tmdbId,source_year,tmdbId,tmdbTitle,tmdbYear,match_type,confidence,review
Boogie Nights,Fandango | Movies Anywhere,NEW_TMDB,,,,4995,Boogie Nights,1997,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Carrie (1976),Prime,NEW_TMDB,,,,,,,NO_RESULT,REVIEW,No TMDB result found.
Catch Me if You Can,Fandango,NEW_TMDB,,,,640,Catch Me If You Can,2002,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Chicago,Prime,NEW_TMDB,,,,1574,Chicago,2002,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Christmas in Connecticut,Fandango | Movies Anywhere,NEW_TMDB,,,,13669,Christmas in Connecticut,1945,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Clerks III,Fandango,NEW_TMDB,,,,635891,Clerks III,2022,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Clue,Prime,NEW_TMDB,,,,15196,Clue,1985,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Cold Pursuit,Fandango | Movies Anywhere,NEW_TMDB,,,,438650,Cold Pursuit,2019,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Conan The Barbarian,Fandango | Movies Anywhere,NEW_TMDB,,,,9387,Conan the Barbarian,1982,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Cowboys & Aliens,Fandango | Movies Anywhere,NEW_TMDB,,,,49849,Cowboys & Aliens,2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
"Crazy, Stupid, Love",Fandango | Movies Anywhere,NEW_TMDB,,,,50646,"Crazy, Stupid, Love.",2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Daylight,Fandango | Movies Anywhere,NEW_TMDB,,,,11228,Daylight,1996,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Dear Santa,Fandango,NEW_TMDB,,,,1097870,Dear Santa,2024,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Death Becomes Her,Fandango | Movies Anywhere,NEW_TMDB,,,,9374,Death Becomes Her,1992,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Death Race 2,Fandango | Movies Anywhere,NEW_TMDB,,,,51620,Death Race 2,2010,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Divergent,Fandango | Movies Anywhere,NEW_TMDB,,,,157350,Divergent,2014,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Dogma,Fandango | Movies Anywhere,NEW_TMDB,,,,1832,Dogma,1999,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Dr. Seuss' The Lorax,Fandango | Movies Anywhere,NEW_TMDB,,,,73723,The Lorax,2012,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Dungeons & Dragons: Honor Among Thieves,Prime,NEW_TMDB,,,,493529,Dungeons & Dragons: Honor Among Thieves,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Easy A,Fandango | Movies Anywhere,NEW_TMDB,,,,37735,Easy A,2010,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Eraser,Fandango | Movies Anywhere,NEW_TMDB,,,,9268,Eraser,1996,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Escape Plan,Fandango | Movies Anywhere,NEW_TMDB,,,,107846,Escape Plan,2013,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Eyes Wide Shut,Fandango | Movies Anywhere,NEW_TMDB,,,,345,Eyes Wide Shut,1999,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
F9 The Fast Saga,Fandango | Movies Anywhere,NEW_TMDB,,,,385128,F9,2021,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
F9 The Fast Saga: The Director's Cut,Fandango,NEW_TMDB,,,,385128,F9,2021,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Family Plot,Fandango | Movies Anywhere,NEW_TMDB,,,,5854,Family Plot,1976,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Fantastic Beasts and Where to Find Them,Fandango | Movies Anywhere,NEW_TMDB,,,,259316,Fantastic Beasts and Where to Find Them,2016,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
