title,digital,status,existing_match,source_tmdbId,source_year,tmdbId,tmdbTitle,tmdbYear,match_type,confidence,review
Spy Game,Fandango | Movies Anywhere,NEW_TMDB,,,,1535,Spy Game,2001,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Street Fighter,Fandango | Movies Anywhere,NEW_TMDB,,,,11667,Street Fighter,1994,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Sudden Death,Fandango | Movies Anywhere,NEW_TMDB,,,,9091,Sudden Death,1995,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Sunset Boulevard,Fandango,NEW_TMDB,,,,599,Sunset Boulevard,1950,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Teen Witch,Prime,NEW_TMDB,,,,25199,Teen Witch,1989,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
That Touch of Mink,Fandango,NEW_TMDB,,,,12708,That Touch of Mink,1962,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Addams Family,Fandango,NEW_TMDB,,,,481084,The Addams Family,2019,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The American President,Fandango | Movies Anywhere,NEW_TMDB,,,,9087,The American President,1995,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Conversation,Fandango,NEW_TMDB,,,,592,The Conversation,1974,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Expendables 3,Fandango | Movies Anywhere,NEW_TMDB,,,,138103,The Expendables 3,2014,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Fall Guy,Fandango | Movies Anywhere,NEW_TMDB,,,,746036,The Fall Guy,2024,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Fate of the Furious,Fandango | Movies Anywhere,NEW_TMDB,,,,337339,The Fate of the Furious,2017,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Final Destination 4,Movies Anywhere,NEW_TMDB,,,,19912,The Final Destination,2009,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Fugitive,Fandango | Movies Anywhere,NEW_TMDB,,,,5503,The Fugitive,1993,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Grass Is Greener,Fandango,NEW_TMDB,,,,25767,The Grass Is Greener,1960,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Great Outdoors,Fandango | Movies Anywhere,NEW_TMDB,,,,2617,The Great Outdoors,1988,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Hangover Part 2,Fandango,NEW_TMDB,,,,45243,The Hangover Part II,2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Hangover Part 3,Fandango,NEW_TMDB,,,,109439,The Hangover Part III,2013,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Hangover Part II,Movies Anywhere,NEW_TMDB,,,,45243,The Hangover Part II,2011,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Hangover Part III,Movies Anywhere,NEW_TMDB,,,,109439,The Hangover Part III,2013,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Housemaid,Fandango | Movies Anywhere,NEW_TMDB,,,,1368166,The Housemaid,2025,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Hunger Games: The Ballad of Songbirds & Snakes,Fandango | Movies Anywhere,NEW_TMDB,,,,695721,The Hunger Games: The Ballad of Songbirds & Snakes,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Italian Job,Fandango,NEW_TMDB,,,,9654,The Italian Job,2003,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Land Before Time XII: The Great Day of the Flyers,Fandango | Movies Anywhere,NEW_TMDB,,,,31933,The Land Before Time XII: The Great Day of the Flyers,2006,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The LEGO Ninjago Movie,Fandango | Movies Anywhere,NEW_TMDB,,,,274862,The Lego Ninjago Movie,2017,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Lost World: Jurassic Park,Fandango | Movies Anywhere,NEW_TMDB,,,,330,The Lost World: Jurassic Park,1997,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Man Who Invented Christmas,Fandango | Movies Anywhere,NEW_TMDB,,,,450322,The Man Who Invented Christmas,2017,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Mask of Zorro,Fandango | Movies Anywhere,NEW_TMDB,,,,9342,The Mask of Zorro,1998,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Maze Runner,Fandango | Movies Anywhere,NEW_TMDB,,,,198663,The Maze Runner,2014,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Ministry Of Ungentlemanly Warfare,Fandango | Movies Anywhere,NEW_TMDB,,,,799583,The Ministry of Ungentlemanly Warfare,2024,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Naked Gun,Fandango,NEW_TMDB,,,,1035259,The Naked Gun,2025,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Nice Guys,Fandango | Movies Anywhere,NEW_TMDB,,,,290250,The Nice Guys,2016,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Producers,Fandango | Movies Anywhere,NEW_TMDB,,,,30197,The Producers,1968,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Prot̩g̩,Fandango | Movies Anywhere,NEW_TMDB,,,,,,,NO_RESULT,REVIEW,No TMDB result found.
The Score,Fandango,NEW_TMDB,,,,11371,The Score,2001,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Shining,Fandango | Movies Anywhere,NEW_TMDB,,,,694,The Shining,1980,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Siege,Fandango | Movies Anywhere,NEW_TMDB,,,,9882,The Siege,1998,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Sound of Music,Fandango | Movies Anywhere,NEW_TMDB,,,,15121,The Sound of Music,1965,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Super Mario Bros. Movie,Fandango | Movies Anywhere,NEW_TMDB,,,,502356,The Super Mario Bros. Movie,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The Unbearable Weight of Massive Talent,Fandango | Movies Anywhere,NEW_TMDB,,,,648579,The Unbearable Weight of Massive Talent,2022,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
The War of the Roses,Fandango | Movies Anywhere,NEW_TMDB,,,,249,The War of the Roses,1989,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
To Catch a Thief,Fandango,NEW_TMDB,,,,381,To Catch a Thief,1955,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Twister,Fandango | Movies Anywhere,NEW_TMDB,,,,664,Twister,1996,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Twisters,Fandango | Movies Anywhere,NEW_TMDB,,,,718821,Twisters,2024,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Valentine's Day,Fandango | Movies Anywhere,NEW_TMDB,,,,32856,Valentine's Day,2010,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Venom,Fandango | Movies Anywhere,NEW_TMDB,,,,335983,Venom,2018,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Venom: Let There Be Carnage,Fandango | Movies Anywhere,NEW_TMDB,,,,580489,Venom: Let There Be Carnage,2021,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Vertigo,Fandango | Movies Anywhere,NEW_TMDB,,,,426,Vertigo,1958,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
What Happens Later,Prime,NEW_TMDB,,,,970948,What Happens Later,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
