result,digital_title,digital,tmdbId,existing_title,existing_year,notes
MATCH,Aladdin,Fandango | Movies Anywhere,420817,Aladdin,2019,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Rambo: First Blood,Fandango | Movies Anywhere | Prime,1368,Rambo: First Blood,1976,Matched by TMDB ID. Existing catalog metadata preserved.
REVIEW,2001: A Space Odyssey,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,300: Rise of an Empire,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,A Bad Moms Christmas,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,A Clockwork Orange,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,A Knight's Tale,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,A Merry Friggin' Christmas,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,A Very Nutty Christmas,Prime,,,,No TMDB ID available. Manual review required.
REVIEW,Addams Family Values,Fandango,,,,No TMDB ID available. Manual review required.
REVIEW,Aladdin and the King of Thieves,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Aladdin: The Return of Jafar,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Anna,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Annie,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Anyone But You,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
REVIEW,Away From Her,Fandango,,,,No TMDB ID available. Manual review required.
